ID,SiteNumber,SiteLocation,ClusterName,SiteAcronym,Date,Month,SampleType,Conductance,ChlA,Phaeophytin,PhaeophytinChlA,Chlorophyta,Cyanophyta,Bacillariophyta,Total,AlgaeComments
1,R1,CAP canal above Waddell Canal,cap,cap-siphon,8/18/1999,8,NA,800,0.3,0,0.7,0,8,135,147,NA
2,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,8/18/1999,8,NA,890,0.3,0,0.7,0,0,76,76,NA
3,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,8/18/1999,8,NA,850,0.6,0,1.3,18,0,0,18,NA
4,R3,Waddell Canal,cap,waddell canal,8/18/1999,8,NA,870,0.8,0,5.3,0,0,18,18,NA
5,R4,Cap Canal at 7th St.,cap,cap @ 7th st,8/18/1999,8,NA,830,1.1,0.7,0.7,0,7,54,61,NA
6,R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,8/16/1999,8,NA,500,7.6,4.7,4.7,21,79,195,302,NA
7,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,8/16/1999,8,NA,490,3.8,2,2.7,4,25,493,522,NA
8,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,8/16/1999,8,NA,490,2.1,1.5,1.3,4,92,91,127,NA
9,R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,8/16/1999,8,NA,500,3.6,2.7,2,4,7,189,204,NA
10,R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,8/17/1999,8,NA,1200,1.7,1.7,0.7,0,25,19,44,NA
11,R9A,Saguaro Lake near inlet,salt,saguaro-epi,8/17/1999,8,NA,1220,9,4.5,6.7,29,36,777,849,NA
12,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,8/17/1999,8,NA,1210,5.1,7.1,1.3,29,87,297,420,NA
13,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,8/17/1999,8,NA,1200,4.2,0,7.3,0,43,165,208,NA
14,R11,CAP Canal at Cross-connect,cap,cap @ x con,8/17/1999,8,NA,850,1.7,0.5,1.3,14,21,302,337,NA
15,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,8/17/1999,8,NA,1120,5.4,0.9,4.7,7,58,402,464,NA
16,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,8/17/1999,8,NA,1120,5.1,0.5,4.7,0,29,229,258,NA
17,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,8/18/1999,8,NA,1130,0.6,0,0.7,0,86,0,86,NA
18,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,8/18/1999,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,8/17/1999,8,NA,1060,3.1,1.7,2,0,0,366,366,NA
20,R17,Deer Valley WTP treated water,srp,deer valley-treated,8/17/1999,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,8/18/1999,8,NA,1030,2.8,1.3,2,0,7,164,171,NA
22,R19,Val Vista WTP treated water,srp,val vista-treated,8/18/1999,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,field_blank,field blank,NA,NA,8/18/1999,8,field blank,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,lab_blank,laboratory blank,NA,NA,8/18/1999,8,lab blank,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,R20,Verde River at Tangle,verde,verde abv horseshoe,8/25/1999,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,R1,CAP canal above Waddell Canal,cap,cap-siphon,9/16/1999,9,NA,750,1.9,0,2,0,19,22,41,NA
27,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,9/16/1999,9,NA,800,2.6,0,2.7,0,4,61,65,NA
28,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,9/16/1999,9,NA,785,0,0,0.7,0,7,15,22,NA
29,R3,Waddell Canal,cap,waddell canal,9/16/1999,9,NA,790,0.3,0,0.7,0,8,7,15,NA
30,R4,Cap Canal at 7th St.,cap,cap @ 7th st,9/16/1999,9,NA,780,0,0,0,7,11,7,25,NA
31,R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,9/14/1999,9,NA,480,7.5,5.3,4,14,64,63,141,NA
32,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,9/14/1999,9,NA,480,3.7,1.5,2.7,14,14,317,352,NA
33,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,9/14/1999,9,NA,460,2.8,0.1,2.7,0,21,115,136,NA
34,R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,9/14/1999,9,NA,450,2.4,0.8,2,14,36,222,272,NA
35,R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,9/15/1999,9,NA,1060,2,1,1.3,0,14,28,42,NA
36,R9A,Saguaro Lake near inlet,salt,saguaro-epi,9/15/1999,9,NA,1080,7.7,0.1,7.3,65,72,137,274,NA
37,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,9/15/1999,9,NA,1085,5.1,0.5,4.7,NA,NA,NA,0,NA
38,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,9/15/1999,9,NA,1055,7.1,2.6,5.3,0,7,128,135,NA
39,R11,CAP Canal at Cross-connect,cap,cap @ x con,9/15/1999,9,NA,770,0,0,0.7,0,0,28,28,NA
40,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,9/15/1999,9,NA,1025,5.1,1.6,4,0,36,352,388,NA
41,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,9/15/1999,9,NA,1015,4,0,4,0,7,245,252,NA
42,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,9/16/1999,9,NA,1020,3.1,1.7,2,0,14,178,192,NA
43,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,9/16/1999,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,9/16/1999,9,NA,1010,2.8,2.4,1.3,7,29,158,194,NA
45,R17,Deer Valley WTP treated water,srp,deer valley-treated,9/16/1999,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,9/15/1999,9,NA,1020,2.6,0.8,2,0,14,172,186,NA
47,R19,Val Vista WTP treated water,srp,val vista-treated,9/15/1999,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,field_blank,field blank,NA,NA,9/15/1999,9,field blank,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,lab_blank,laboratory blank,NA,NA,9/15/1999,9,lab blank,NA,NA,NA,NA,NA,NA,NA,NA,NA
