ID,SiteNumber,SiteLocation,ClusterName,SiteAcronym,Date,Month,SampleType,TOC,DOC,UVA,SUVA,PeakInt,PeakIntWL,Intat450,Intat460,Intat500,Fl,docm_comments
1,R1,CAP canal above Waddell Canal,cap,cap-siphon,8/18/1999,8,NA,2.87,2.93,0.04,0.01,41.6,446.09,40.74,38.04,21.59,1.88,NA
2,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,8/18/1999,8,NA,3.08,3.11,0.04,0.01,38.94,445.63,37.93,35.51,20.09,1.88,NA
3,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,8/18/1999,8,NA,2.88,2.84,0.04,0.01,44.05,441.09,43.63,40.26,23.27,1.87,NA
4,R3,Waddell Canal,cap,waddell canal,8/18/1999,8,NA,2.71,2.71,0.04,0.01,44.82,446.01,44.53,40.98,23.95,1.85,NA
5,R4,Cap Canal at 7th St.,cap,cap @ 7th st,8/18/1999,8,NA,2.75,2.7,0.04,0.01,45.09,445.15,43.92,41.13,23.6,1.86,NA
6,R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,8/16/1999,8,NA,2.75,2.77,0.07,0.02,92.67,446.36,92.45,87.86,52.34,1.76,NA
7,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,8/16/1999,8,NA,1.93,1.84,0.04,0.02,48.65,448.62,48.23,45.52,27.28,1.76,NA
8,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,8/16/1999,8,NA,1.73,1.61,0.04,0.02,51.89,448.74,51.38,48.71,29,1.77,NA
9,R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,8/16/1999,8,NA,1.77,1.62,0.03,0.02,47.95,447.02,47.52,44.38,26.25,1.81,NA
10,R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,8/17/1999,8,NA,2.74,2.66,0.05,0.01,57.45,449.44,57.35,52.71,30.95,1.85,NA
11,R9A,Saguaro Lake near inlet,salt,saguaro-epi,8/17/1999,8,NA,2.94,2.84,0.05,0.01,62.38,443.24,61.8,57.56,34.07,1.81,NA
12,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,8/17/1999,8,NA,2.91,2.81,0.05,0.01,65.02,440.7,64.43,60.53,35.87,1.79,NA
13,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,8/17/1999,8,NA,2.94,2.71,0.05,0.02,62.98,446.3,62.62,58.61,34.44,1.81,NA
14,R11,CAP Canal at Cross-connect,cap,cap @ x con,8/17/1999,8,NA,2.73,2.61,0.04,0.01,43.73,445.18,42.67,39.6,22.4,1.9,NA
15,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,8/17/1999,8,NA,3.02,2.62,0.05,0.02,61.77,446.31,60.78,56.88,33.5,1.81,NA
16,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,8/17/1999,8,NA,2.6,2.52,0.04,0.01,57.62,445.62,56.42,53.6,31.28,1.8,NA
17,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,8/18/1999,8,NA,2.48,2.41,0.04,0.01,55.83,446.23,54.83,52.01,30.81,1.77,NA
18,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,8/18/1999,8,NA,2.35,2.3,0.04,0.01,50.37,441.74,49.66,45.86,26.82,1.85,NA
19,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,8/17/1999,8,NA,2.73,2.66,0.04,0.01,57.66,446.93,57.32,53.51,31.11,1.84,NA
20,R17,Deer Valley WTP treated water,srp,deer valley-treated,8/17/1999,8,NA,2.44,2.28,0.04,0.01,51.21,442.47,50.83,47.42,26.58,1.91,NA
21,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,8/18/1999,8,NA,2.57,2.53,0.05,0.02,52.39,442.69,51.16,48.88,28.17,1.81,NA
