ID,SiteNumber,SiteLocation,ClusterName,SiteAcronym,Date,Month,Depth,Temperature,DO,pH,SecchiDisk,SamplesCollected,SampleType,Comments
6802,R2,Lake Pleasant integrated sample,cap,pleasant,12/6/2005,12,45.6,15,8.7,NA,NA,NA,NA,NA
6803,R2,Lake Pleasant integrated sample,cap,pleasant,12/6/2005,12,47.6,15,8.7,NA,NA,NA,NA,NA
6804,R2,Lake Pleasant integrated sample,cap,pleasant,12/6/2005,12,49.3,15,8.7,NA,NA,NA,NA,NA
6805,R2,Lake Pleasant integrated sample,cap,pleasant,12/6/2005,12,51.7,15,8.6,NA,NA,NA,NA,NA
6806,R2,Lake Pleasant integrated sample,cap,pleasant,12/6/2005,12,54.2,15,8.4,NA,NA,NA,NA,NA
6807,R6A,Bartlett Reservoir near outlet,verde,bartlett-0m,12/6/2005,12,0,15.5,7.5,NA,1.22,NA,NA,NA
6808,R6-5,Bartlett Reservoir near outlet,verde,bartlett-5m,12/6/2005,12,5,15.6,9.1,NA,NA,NA,NA,NA
6809,R6-10,Bartlett Reservoir near outlet,verde,bartlett-10m,12/6/2005,12,10,15.6,9.2,NA,NA,NA,NA,NA
6810,R6-15,Bartlett Reservoir near outlet,verde,bartlett-15m,12/6/2005,12,15,15.6,9.1,NA,NA,NA,NA,NA
6811,R6-20,Bartlett Reservoir near outlet,verde,bartlett-20m,12/6/2005,12,20,15.6,9,NA,NA,NA,NA,NA
6812,R6-25,Bartlett Reservoir near outlet,verde,bartlett-25m,12/6/2005,12,25,15.6,8.8,NA,NA,NA,NA,NA
6813,R6-30,Bartlett Reservoir near outlet,verde,bartlett-30m,12/6/2005,12,30,15.6,8.7,NA,NA,NA,NA,NA
6814,R6-35,Bartlett Reservoir near outlet,verde,bartlett-35m,12/6/2005,12,35,15.5,7.4,NA,NA,NA,NA,NA
6815,R6-40,Bartlett Reservoir near outlet,verde,bartlett-40m,12/6/2005,12,40,15.1,7,NA,NA,NA,NA,NA
6816,R6-45,Bartlett Reservoir near outlet,verde,bartlett-45m,12/6/2005,12,45,14.9,6.8,NA,NA,NA,NA,NA
6817,R6-50,Bartlett Reservoir near outlet,verde,bartlett-50m,12/6/2005,12,50,NA,NA,NA,NA,NA,NA,NA
6818,R9A,Saguaro Lake near inlet,salt,saguaro-0m,12/6/2005,12,0,6.6,15.8,NA,2.74,NA,NA,NA
6819,R9-5,Saguaro Lake near inlet,salt,saguaro-5m,12/6/2005,12,5,7.7,15.9,NA,NA,NA,NA,NA
6820,R9-10,Saguaro Lake near inlet,salt,saguaro-10m,12/6/2005,12,10,7.8,15.9,NA,NA,NA,NA,NA
6821,R9-15,Saguaro Lake near inlet,salt,saguaro-15m,12/6/2005,12,15,7.7,16,NA,NA,NA,NA,NA
6822,R9-20,Saguaro Lake near inlet,salt,saguaro-20m,12/6/2005,12,20,7.6,16,NA,NA,NA,NA,NA
6823,R9-25,Saguaro Lake near inlet,salt,saguaro-25m,12/6/2005,12,25,7.2,16,NA,NA,NA,NA,NA
6824,R9-30,Saguaro Lake near inlet,salt,saguaro-30m,12/6/2005,12,30,7.1,16,NA,NA,NA,NA,NA
6825,R9-35,Saguaro Lake near inlet,salt,saguaro-35m,12/6/2005,12,35,NA,NA,NA,NA,NA,NA,NA
6826,R9-40,Saguaro Lake near inlet,salt,saguaro-40m,12/6/2005,12,40,NA,NA,NA,NA,NA,NA,NA
6827,R9-45,Saguaro Lake near inlet,salt,saguaro-45m,12/6/2005,12,45,NA,NA,NA,NA,NA,NA,NA
6828,R9-50,Saguaro Lake near inlet,salt,saguaro-50m,12/6/2005,12,50,NA,NA,NA,NA,NA,NA,NA
6829,R20,Verde River at Tangle,verde,verde abv horseshoe,12/6/2005,12,NA,NA,NA,NA,NA,NA,NA,NA
6663,SOCA,South Canal below CAP Cross-conect,SRP,South canal below CAP,10/25/2005,10,NA,21.5,NA,8.2,NA,NA,NA,NA
6664,HTC,Head of the Tempe Canal,tempe,head of tempe canal,10/25/2005,10,NA,22.1,NA,8.3,NA,NA,NA,NA
6665,SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,10/25/2005,10,NA,NA,NA,NA,NA,NA,NA,NA
6666,SPT Out,Tempe's South Plant treated water,tempe,STP Out,10/25/2005,10,NA,NA,NA,NA,NA,NA,NA,NA
