ID,Site_Number,Site_Location,Cluster_Name,Site_Acronym,Date,Month,Sample_Type,Tot_N,Diss_N,Tot_P,Diss_P,NO3_N,NH4_N,DON,Nutrient_comments
4440,UH In,Union Hills Inlet,cap,Union Hills Inlet,9/12/2006,9,NA,NA,NA,4.6,NA,NA,NA,NA,NA
4441,UH Out,Union Hills Treated Water,cap,Union Hills Outlet,9/12/2006,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
4442,R11,CAP Canal at Cross-connect,cap,cap @ x con,9/12/2006,9,NA,NA,NA,13.5,NA,NA,NA,NA,NA
4443,SOCA,South Canal below CAP Cross-conect,SRP,South canal below CAP,9/12/2006,9,NA,NA,NA,63.7,NA,NA,NA,NA,NA
4444,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,9/12/2006,9,NA,NA,NA,64.9,NA,NA,NA,NA,NA
4445,R19,Val Vista WTP treated water,srp,val vista-treated,9/12/2006,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
4446,NA,Val Vista West WTP treated water,srp,val vista WEST-treated,9/12/2006,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
4447,HTC,Head of the Tempe Canal,tempe,head of tempe canal,9/12/2006,9,NA,NA,NA,68.6,NA,NA,NA,NA,NA
4448,SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,9/12/2006,9,NA,NA,NA,52.5,NA,NA,NA,NA,NA
4449,SPT Out,Tempe's South Plant treated water,tempe,STP Out,9/12/2006,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
4450,R25,verde river at beeline highway,verde,verde @ beeline,9/12/2006,9,NA,NA,NA,229.5,NA,NA,NA,NA,NA
4451,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,9/12/2006,9,NA,NA,NA,38.5,NA,NA,NA,NA,NA
4452,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,9/12/2006,9,NA,NA,NA,11.7,NA,NA,NA,NA,NA
4453,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,9/12/2006,9,NA,NA,NA,71.1,NA,NA,NA,NA,NA
4454,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,9/12/2006,9,NA,NA,NA,73,NA,NA,NA,NA,NA
4455,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,9/12/2006,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
4456,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,9/12/2006,9,NA,NA,NA,91.5,NA,NA,NA,NA,NA
4457,R17,Deer Valley WTP treated water,srp,deer valley-treated,9/12/2006,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
4458,Green In,Greenway WTP Inlet,srp,Green In,9/12/2006,9,NA,NA,NA,61,NA,NA,NA,NA,NA
4459,Green Out,Greenway WTP Outlet,srp,Green Out,9/12/2006,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
4460,NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,9/12/2006,9,NA,NA,NA,70.4,NA,NA,NA,NA,NA
4461,NP Out,Tempe's North Plant treated water,tempe,north plant outlet,9/12/2006,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
4462,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,9/12/2006,9,NA,NA,NA,3.8,NA,NA,NA,NA,NA
4463,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,9/12/2006,9,NA,NA,NA,13.7,NA,NA,NA,NA,NA
4464,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,9/12/2006,9,NA,NA,NA,2.6,NA,NA,NA,NA,NA
4465,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,9/12/2006,9,NA,NA,NA,8.2,NA,NA,NA,NA,NA
4466,R9A,Saguaro Lake near inlet,salt,saguaro-epi,9/12/2006,9,NA,NA,NA,5.1,NA,NA,NA,NA,NA
4467,R9A-Dup,Saguaro Lake near inlet,NA,saguaro-epi dup,9/12/2006,9,NA,NA,NA,2.4,NA,NA,NA,NA,NA
4468,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,9/12/2006,9,NA,NA,NA,16.8,NA,NA,NA,NA,NA
4469,R20,Verde River at Tangle,verde,verde abv horseshoe,9/12/2006,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
4470,Havasu 1,Havasu lake Sample,NA,Havasu 1,9/12/2006,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
4471,Havasu 2,Havasu lake Sample,NA,Havasu 2,9/12/2006,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
4472,Roosvelt,SRP above Roosevelt Lake,NA,Above Roosevelt,9/12/2006,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
4473,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,9/12/2006,9,NA,NA,NA,82,NA,NA,NA,NA,NA
4474,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,9/12/2006,9,NA,NA,NA,89.7,NA,NA,NA,NA,NA
4475,Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,9/12/2006,9,NA,NA,NA,94.3,NA,NA,NA,NA,NA
4476,Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,9/12/2006,9,NA,NA,NA,64.7,NA,NA,NA,NA,NA
4477,R1,CAP canal above Waddell Canal,cap,cap-siphon,9/12/2006,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
4478,R4,Cap Canal at 7th St.,cap,cap @ 7th st,9/12/2006,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
4479,R4-Dup,Cap Canal at 7th St.,cap,cap @ 7th st dup,9/12/2006,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
4480,R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,9/12/2006,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
4481,R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,9/12/2006,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
4482,R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,9/12/2006,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
4483,Mesa,AZ Canal at Mesa Dr.,srp,az canal @ Mesa,9/12/2006,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
4484,Scotts,AZ Canal at Scottsdale Rd.,srp,az canal @ scotts.,9/12/2006,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
4485,R3,Waddell Canal,cap,waddell canal,10/10/2006,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
4486,UH In,Union Hills Inlet,cap,Union Hills Inlet,10/10/2006,10,NA,NA,NA,13.1,NA,NA,NA,NA,NA
4487,UH Out,Union Hills Treated Water,cap,Union Hills Outlet,10/10/2006,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
4488,R11,CAP Canal at Cross-connect,cap,cap @ x con,10/10/2006,10,NA,NA,NA,11.2,NA,NA,NA,NA,NA
4489,SOCA,South Canal below CAP Cross-conect,SRP,South canal below CAP,10/10/2006,10,NA,NA,NA,57.2,NA,NA,NA,NA,NA
4490,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,10/10/2006,10,NA,NA,NA,90.3,NA,NA,NA,NA,NA
4491,R19,Val Vista WTP treated water,srp,val vista-treated,10/10/2006,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
4492,NA,Val Vista West WTP treated water,srp,val vista WEST-treated,10/10/2006,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
4493,HTC,Head of the Tempe Canal,tempe,head of tempe canal,10/10/2006,10,NA,NA,NA,66.1,NA,NA,NA,NA,NA
4494,SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,10/10/2006,10,NA,NA,NA,41.1,NA,NA,NA,NA,NA
4495,SPT Out,Tempe's South Plant treated water,tempe,STP Out,10/10/2006,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
4496,R25,verde river at beeline highway,verde,verde @ beeline,10/10/2006,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
4497,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,10/10/2006,10,NA,NA,NA,35.5,NA,NA,NA,NA,NA
4498,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,10/10/2006,10,NA,NA,NA,9.1,NA,NA,NA,NA,NA
4499,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,10/10/2006,10,NA,NA,NA,48.3,NA,NA,NA,NA,NA
4500,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,10/10/2006,10,NA,NA,NA,11.2,NA,NA,NA,NA,NA
4501,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,10/10/2006,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
4502,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,10/10/2006,10,NA,NA,NA,78.3,NA,NA,NA,NA,NA
4503,R17,Deer Valley WTP treated water,srp,deer valley-treated,10/10/2006,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
4504,Green In,Greenway WTP Inlet,srp,Green In,10/10/2006,10,NA,NA,NA,46.2,NA,NA,NA,NA,NA
4505,Green Out,Greenway WTP Outlet,srp,Green Out,10/10/2006,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
4506,NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,10/10/2006,10,NA,NA,NA,69.7,NA,NA,NA,NA,NA
4507,NP Out,Tempe's North Plant treated water,tempe,north plant outlet,10/10/2006,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
