ID,Site_Name,Site_Location,Cluster_Name,Site_Acronym,Sample_Date,E_coli,Coliform,Mycobacterium,Comments
1,Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,6/2/2014,21,530,NA,TNTC = Too Numerous to Count
2,SOCA,South Canal below CAP Cross-conect,srp,South canal below CAP,6/2/2014,54,320,NA,NCDC = Not Countable Due to Contamination
3,R11,CAP Canal at Cross-connect,cap,cap @ x con,6/2/2014,13,93,NA,NA
4,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,6/2/2014,16,534,NA,NA
5,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,6/2/2014,34,520,NA,NA
6,Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,6/2/2014,17,574,NA,NA
7,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,6/2/2014,15,556,NA,NA
8,R3,Waddell Canal,cap,waddell canal,6/2/2014,5,56,NA,NA
9,R25,verde river at beeline highway,verde,verde @ beeline,6/2/2014,19,340,NA,NA
10,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,6/2/2014,35,536,NA,NA
11,HOC,Head of the Consolidated Canal,srp,Head of the Consolidated Canal,6/2/2014,37,462,NA,NA
12,MOC,Middle of the Consolidated Canal,srp,Middle of the Consolidated Canal,6/2/2014,45,552,NA,NA
13,HTC,Head of the Tempe Canal,tempe,head of tempe canal,6/2/2014,29,378,NA,NA
14,Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,7/7/2014,18,496,NA,NA
15,SOCA,South Canal below CAP Cross-conect,srp,South canal below CAP,7/7/2014,28,456,NA,NA
16,R11,CAP Canal at Cross-connect,cap,cap @ x con,7/7/2014,50,548,NA,NA
17,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,7/7/2014,20,390,NA,NA
18,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,7/7/2014,52,440,NA,NA
19,Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,7/7/2014,16,330,NA,NA
20,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,7/7/2014,34,462,NA,NA
21,R3,Waddell Canal,cap,waddell canal,7/7/2014,0,23,NA,NA
22,R25,verde river at beeline highway,verde,verde @ beeline,7/7/2014,158,548,NA,NA
23,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,7/7/2014,36,474,NA,NA
24,HOC,Head of the Consolidated Canal,srp,Head of the Consolidated Canal,7/7/2014,24,304,NA,NA
25,MOC,Middle of the Consolidated Canal,srp,Middle of the Consolidated Canal,7/7/2014,48,240,NA,NA
26,HTC,Head of the Tempe Canal,tempe,head of tempe canal,7/7/2014,18,260,NA,NA
27,Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,8/5/2014,14,542,NA,NA
28,SOCA,South Canal below CAP Cross-conect,srp,South canal below CAP,8/5/2014,24,462,NA,NA
