Sensor,Date.Time,Temp_C,day,Date.Time.2,Cond_ms_cm,Date.Time.3,DO_percent,salinity,bp_inches,pressure_mbar
Wql_040850_Probe1.BGA,4/9/2017 13:49,18.30139732,9,4/9/2017 13:51,522.1765137,4/9/2017 13:54,118.5428696,421.9814347,29.86,1011.176054
Wql_040850_Probe1.BGA,4/9/2017 14:19,18.55678177,9,4/9/2017 14:21,522.8401489,4/9/2017 14:24,119.7469482,422.5648512,29.86,1011.176054
Wql_040850_Probe1.BGA,4/9/2017 14:49,18.65416336,9,4/9/2017 14:51,527.8422852,4/9/2017 14:54,121.4066544,426.9644275,29.86,1011.176054
Wql_040850_Probe1.BGA,4/9/2017 15:19,18.90493584,9,4/9/2017 15:21,529.9353027,4/9/2017 15:24,124.0686798,428.8064076,29.86,1011.176054
Wql_040850_Probe1.BGA,4/9/2017 15:49,19.09816551,9,4/9/2017 15:51,551.4954224,4/9/2017 15:54,126.0614853,447.8173751,29.86,1011.176054
Wql_040850_Probe1.BGA,4/9/2017 16:19,19.24554825,9,4/9/2017 16:21,564.4764404,4/9/2017 16:24,127.1676407,459.2952686,29.86,1011.176054
Wql_040850_Probe1.BGA,4/9/2017 16:49,19.19992828,9,4/9/2017 16:51,565.5113525,4/9/2017 16:54,126.6972961,460.211349,29.86,1011.176054
Wql_040850_Probe1.BGA,4/9/2017 17:19,19.14039612,9,4/9/2017 17:21,561.1625366,4/9/2017 17:24,125.1483765,456.3628703,29.86,1011.176054
Wql_040850_Probe1.BGA,4/9/2017 17:49,19.22480011,9,4/9/2017 17:51,534.2189331,4/9/2017 17:54,122.8249893,432.5782468,29.86,1011.176054
Wql_040850_Probe1.BGA,4/9/2017 18:19,18.64495087,9,4/9/2017 18:21,405.0114136,4/9/2017 18:24,119.3151321,320.0770502,29.86,1011.176054
Wql_040850_Probe1.BGA,4/9/2017 18:49,18.31595802,9,4/9/2017 18:51,354.4680786,4/9/2017 18:54,116.7519455,276.8736662,29.86,1011.176054
Wql_040850_Probe1.BGA,4/9/2017 19:19,18.22599983,9,4/9/2017 19:21,356.0676575,4/9/2017 19:24,114.9293213,278.2330595,29.86,1011.176054
Wql_040850_Probe1.BGA,4/9/2017 19:49,18.2196579,9,4/9/2017 19:51,379.4158325,4/9/2017 19:54,114.1246872,298.1353229,29.86,1011.176054
