"","month_day","Sensor.Name","Reading.Date","Month","Day","Date","press.avg.mbar","BGA","Chlorophyl","COND","DO","PH","Temp","Turb"
"1","1-17","Wql_030002_Probe1","1/17/2017 14:35",1,17,"1/17/2017",1016.932917,-229,98.40000153,0.603999972,95.09999847,8.079999924,12.43000031,10
"2","1-17","Wql_030002_Probe1","1/17/2017 15:05",1,17,"1/17/2017",1016.932917,-229,99.5,0.602999985,95.09999847,8.090000153,12.52000046,10.60000038
"3","1-17","Wql_010001_Probe1","1/17/2017 20:35",1,17,"1/17/2017",1016.932917,NA,-32.29999924,0.856999993,87.90000153,8.029999733,12.51000023,3.900000095
"4","1-17","Wql_060701_Probe1","1/17/2017 14:35",1,17,"1/17/2017",1016.932917,0,-12.30000019,1.046000004,-12.30000019,8.029999733,18.53000069,5.099999905
"5","1-17","Wql_010001_Probe1","1/17/2017 21:05",1,17,"1/17/2017",1016.932917,NA,-32.29999924,0.853999972,87.90000153,8.029999733,12.51000023,3.900000095
"6","1-17","Wql_060701_Probe1","1/17/2017 15:05",1,17,"1/17/2017",1016.932917,0,-12.30000019,1.046000004,-12.30000019,8.029999733,18.56999969,5.900000095
"7","1-17","Wql_030002_Probe1","1/17/2017 15:35",1,17,"1/17/2017",1016.932917,-229,100.5999985,0.602999985,95.09999847,8.100000381,12.60000038,10.89999962
"8","1-17","Wql_010001_Probe1","1/17/2017 21:35",1,17,"1/17/2017",1016.932917,NA,-32.29999924,0.852999985,87.90000153,8.039999962,12.48999977,3.799999952
"9","1-17","Wql_060701_Probe1","1/17/2017 15:35",1,17,"1/17/2017",1016.932917,0,-12.30000019,1.034000039,-12.30000019,8.029999733,18.45000076,6.599999905
"10","1-17","Wql_060701_Probe1","1/17/2017 21:35",1,17,"1/17/2017",1016.932917,0,-12.30000019,1.113000035,-12.30000019,7.949999809,18.39999962,4.800000191
"11","1-17","Wql_010001_Probe1","1/17/2017 14:35",1,17,"1/17/2017",1016.932917,NA,-32.29999924,0.839999974,87.90000153,7.980000019,12.47000027,4.5
"12","1-17","Wql_030002_Probe1","1/17/2017 16:05",1,17,"1/17/2017",1016.932917,-229,101.5,0.601999998,95.09999847,8.119999886,12.68000031,11
"13","1-17","Wql_060701_Probe1","1/17/2017 16:05",1,17,"1/17/2017",1016.932917,0,-12.30000019,1.00999999,-12.30000019,8.050000191,18.27000046,6.699999809
"14","1-17","Wql_010001_Probe1","1/17/2017 22:05",1,17,"1/17/2017",1016.932917,NA,-32.29999924,0.851999998,87.90000153,8.029999733,12.47000027,3.700000048
"15","1-17","Wql_060701_Probe1","1/17/2017 22:05",1,17,"1/17/2017",1016.932917,0,-12.30000019,1.113000035,-12.30000019,7.940000057,18.37999916,5
"16","1-17","Wql_010001_Probe1","1/17/2017 15:05",1,17,"1/17/2017",1016.932917,NA,-32.29999924,0.856999993,87.90000153,7.989999771,12.46000004,4
"17","1-17","Wql_010001_Probe1","1/17/2017 22:35",1,17,"1/17/2017",1016.932917,NA,-32.29999924,0.850000024,87.90000153,8.020000458,12.44999981,3.900000095
"18","1-17","Wql_060701_Probe1","1/17/2017 16:35",1,17,"1/17/2017",1016.932917,0,-12.30000019,1.019999981,-12.30000019,8.050000191,18.20000076,7.400000095
"19","1-17","Wql_030002_Probe1","1/17/2017 16:35",1,17,"1/17/2017",1016.932917,-229,101.9000015,0.601999998,95.09999847,8.119999886,12.72000027,11.39999962
"20","1-17","Wql_060701_Probe1","1/17/2017 22:35",1,17,"1/17/2017",1016.932917,0,-12.30000019,1.10800004,-12.30000019,7.940000057,18.36000061,4.800000191
"21","1-17","Wql_060701_Probe1","1/17/2017 17:05",1,17,"1/17/2017",1016.932917,0,-12.30000019,1.008999944,-12.30000019,8.06000042,18.23999977,5.5
"22","1-17","Wql_010001_Probe1","1/17/2017 23:05",1,17,"1/17/2017",1016.932917,NA,-32.29999924,0.851999998,87.90000153,8.029999733,12.43000031,3.900000095
"23","1-17","Wql_010001_Probe1","1/17/2017 15:35",1,17,"1/17/2017",1016.932917,NA,-32.29999924,0.861999989,87.90000153,7.980000019,12.44999981,4.300000191
