ID,Site_Name,Site_Location,Cluster_Name,Site_Acronym,Date,MIB,Geosmin,Cyclocitral,TP,DOC,UVA,SUVA,Conductance,TDN
2,Can1A,Canyon Lake; upper,SRP,Canyon; epi; upper,2012-02-15,1.1,0.79,0,62,3.8,0.03,0.8,1102,0.3
3,Can1B,Canyon Lake; upper,SRP,Canyon; hypo; upper,2012-02-15,12.76,13.87,0,28,4.6,0.03,0.7,1095,0.5
4,Can2A,Canyon Lake; lower,SRP,Canyon; epi; lower,2012-02-15,8.4,9.68,0,21.6,3.9,0.03,0.8,1097,0.4
5,Can2B,Canyon Lake; lower,SRP,Canyon; hypo; lower,2012-02-15,25.2,2,0,15.6,4.4,0.03,0.7,1096,0.5
6,APA1A,Apache Lake; upper,SRP,Apache; epi; upper,2012-02-15,0.54,0.79,0,62,5.5,0.03,0.8,1102,0.3
7,APA1B,Apache Lake; upper,SRP,Apache; hypo; upper,2012-02-15,6.5,0,0,14,3.8,0.03,0.8,1114,0.3
8,APA2A,Apache Lake; lower,SRP,Apache; epi; lower,2012-02-15,0.7,1,0,10,5.5,0.06,1.2,1202,0.4
9,APA2B,Apache Lake; lower,SRP,Apache; hypo; lower,2012-02-15,0.6,1,0,18,3.9,0.03,0.8,1101,0.4
10,Roos1A,Roosevelt Lake; upper,SRP,Roosevelt; epi; upper,2012-02-15,1,1.3,0,16.8,3.7,0.03,0.8,1387,0.3
11,Roos1B,Roosevelt Lake; upper,SRP,Roosevelt; hypo; upper,2012-02-15,1.64,1.11,0,7.2,3.6,0.03,0.8,1393,0.3
12,Roos2A,Roosevelt Lake; lower,SRP,Roosevelt; epi; lower,2012-02-15,0.86,1.44,0,5.2,3.6,0.03,0.8,1352,0.3
13,Roos2B,Roosevelt Lake; lower,SRP,Roosevelt; hypo; lower,2012-02-15,1,1.1,0,10,3.7,0.8,1,1491,0.4
14,Can1A,Canyon Lake; upper,SRP,Canyon; epi; upper,2012-05-16,2.2,0,0,14.6,4.5,0.1,1.7,1005,0.5
15,Can1B,Canyon Lake; upper,SRP,Canyon; hypo; upper,2012-05-16,3.9,4.7,0,14.4,6.5,0.1,1.2,1009,1.1
16,Can2A,Canyon Lake; lower,SRP,Canyon; epi; lower,2012-05-16,NA,NA,NA,11.4,3.9,0.1,1.8,1009,0.4
17,Can2B,Canyon Lake; lower,SRP,Canyon; hypo; lower,2012-05-16,NA,NA,NA,13.8,3.8,0.1,1.8,1007,0.4
18,APA1A,Apache Lake; upper,SRP,Apache; epi; upper,2012-05-16,4.5,4.2,0,28.2,6.3,0.1,1.2,993,0.6
19,APA1B,Apache Lake; upper,SRP,Apache; hypo; upper,2012-05-16,NA,NA,NA,19,4,0.1,1.7,1007,0.4
20,APA2A,Apache Lake; lower,SRP,Apache; epi; lower,2012-05-16,2.9,0,0,11.8,4.1,0.1,1.7,NA,0.3
21,APA2B,Apache Lake; lower,SRP,Apache; hypo; lower,2012-05-16,NA,NA,NA,9,3.8,0.1,1.8,NA,0.4
22,Roos1A,Roosevelt Lake; upper,SRP,Roosevelt; epi; upper,2012-05-16,NA,NA,NA,NA,4.6,NA,NA,1235,NA
23,Roos1B,Roosevelt Lake; upper,SRP,Roosevelt; hypo; upper,2012-05-16,NA,NA,NA,NA,NA,NA,NA,1255,NA
24,Roos2A,Roosevelt Lake; lower,SRP,Roosevelt; epi; lower,2012-05-16,NA,NA,NA,NA,NA,NA,NA,1229,NA
25,Roos2B,Roosevelt Lake; lower,SRP,Roosevelt; hypo; lower,2012-05-16,1,1.1,0,10,3.7,0.03,0.8,1491,0.4
63,Can1A,Canyon Lake; upper,SRP,Canyon; epi; upper,2012-08-15,24.2,0,0,30,4,0.07,1.7,1199,0.4
64,Can1B,Canyon Lake; upper,SRP,Canyon; hypo; upper,2012-08-15,14.7,0,0,40,4.12,0.07,1.6,1204,0.45
