region,site,DateTime_UTC,Battery_V,CDOM_ppb,DO_mgL,DOsat_pct,Depth_m,SpecCond_mScm,Turbidity_NTU,WaterTemp_C,pH,pH_mV
AZ,SC,2/20/2017 21:30,6.66,29.4,9.78,99.2,0.45,239.8,150,13.12,8.16,-62.1
AZ,SC,2/20/2017 21:45,6.67,29.63,9.8,99.3,0.43,240.3,110.7,13.04,8.15,-61.5
AZ,SC,2/20/2017 22:00,6.61,29.55,9.79,99.4,0.42,240.7,133.9,13.13,8.14,-61.3
AZ,SC,2/20/2017 22:15,6.62,29.49,9.76,99.7,0.43,241.8,112.2,13.42,8.14,-61.3
AZ,SC,2/20/2017 22:30,6.84,29.21,9.72,100.2,0.41,242.2,113.2,13.84,8.15,-61.9
AZ,SC,2/20/2017 22:45,6.66,29.17,9.65,100.1,0.42,242.9,148.5,14.09,8.16,-62.3
AZ,SC,2/20/2017 23:00,6.82,29.35,9.61,99.6,0.42,243.6,113.1,14.09,8.15,-61.9
AZ,SC,2/20/2017 23:15,6.79,29.55,9.57,99,0.42,244.3,113.2,13.96,8.14,-61.6
AZ,SC,2/20/2017 23:30,6.81,29.4,9.53,99.2,0.41,245,108.8,14.3,8.15,-61.7
AZ,SC,2/20/2017 23:45,6.79,29.07,9.45,99.7,0.42,245.8,126.8,14.89,8.18,-63.5
AZ,SC,2/21/2017 0:00,6.89,29,9.39,99.7,0.42,246.7,100.1,15.16,8.18,-64
AZ,SC,2/21/2017 0:15,6.92,29.03,9.37,99.7,0.42,247.1,99.97,15.29,8.19,-64.4
AZ,SC,2/21/2017 0:30,6.84,29.16,9.33,99.1,0.41,247.6,109.8,15.23,8.19,-64.1
AZ,SC,2/21/2017 0:45,6.96,29.36,9.32,98.7,0.42,247.6,104.3,15.02,8.17,-63.1
AZ,SC,2/21/2017 1:00,6.89,29.54,9.34,98.5,0.42,248.5,126.1,14.84,8.15,-62.3
AZ,SC,2/21/2017 1:15,6.89,29.66,9.37,98.5,0.41,249.1,108.2,14.71,8.15,-61.8
AZ,SC,2/21/2017 1:30,6.97,29.87,9.39,98.5,0.41,249.7,187.7,14.61,8.15,-61.8
AZ,SC,2/21/2017 1:45,6.96,29.98,9.4,98.3,0.41,250.2,99.59,14.48,8.14,-61.5
AZ,SC,2/21/2017 2:00,6.89,30.09,9.39,98,0.41,250.5,97.12,14.39,8.14,-61.2
AZ,SC,2/21/2017 2:15,6.99,30.3,9.39,97.8,0.4,251.3,146.2,14.3,8.13,-61
AZ,SC,2/21/2017 2:30,6.96,30.49,9.39,97.5,0.41,251.8,102.1,14.13,8.13,-60.7
AZ,SC,2/21/2017 2:45,6.99,30.72,9.41,97.2,0.4,252,295.8,13.95,8.12,-60.4
AZ,SC,2/21/2017 3:00,6.89,30.99,9.43,97.1,0.39,252.8,120.1,13.78,8.12,-60
AZ,SC,2/21/2017 3:15,6.92,31.03,9.45,97,0.39,252.9,114.2,13.62,8.12,-59.9
AZ,SC,2/21/2017 3:30,6.96,31.2,9.47,97,0.4,253.4,100.8,13.5,8.11,-59.7
AZ,SC,2/21/2017 3:45,6.92,31.36,9.48,96.9,0.4,253.7,91.63,13.41,8.11,-59.6
AZ,SC,2/21/2017 4:00,6.97,31.45,9.49,96.8,0.4,254.2,96.16,13.35,8.11,-59.3
AZ,SC,2/21/2017 4:15,6.89,31.47,9.49,96.7,0.39,254.5,104.3,13.3,8.1,-59.2
AZ,SC,2/21/2017 4:30,7.02,31.59,9.49,96.6,0.4,255,99.9,13.26,8.1,-59.2
AZ,SC,2/21/2017 4:45,6.96,31.66,9.51,96.7,0.4,255.8,100.2,13.23,8.1,-58.9
AZ,SC,2/21/2017 5:00,6.91,31.67,9.51,96.7,0.39,255.9,90.33,13.18,8.1,-58.8
AZ,SC,2/21/2017 5:15,6.87,31.68,9.52,96.6,0.4,256.2,94.08,13.12,8.1,-59
AZ,SC,2/21/2017 5:30,6.91,32.01,9.53,96.6,0.4,257.2,93.85,13.06,8.09,-58.5
AZ,SC,2/21/2017 5:45,6.91,32.21,9.55,96.6,0.39,257.1,108.4,12.98,8.1,-58.8
AZ,SC,2/21/2017 6:00,7.02,31.8,9.57,96.6,0.4,257.7,98.92,12.92,8.1,-58.8
AZ,SC,2/21/2017 6:15,6.94,32.21,9.59,96.8,0.39,258,96.76,12.85,8.1,-58.9
AZ,SC,2/21/2017 6:30,6.82,32.26,9.61,96.8,0.4,258.3,90.16,12.78,8.1,-58.9
AZ,SC,2/21/2017 6:45,6.96,29.52,9.61,96.7,0.4,258.9,95.13,12.71,8.1,-58.9
AZ,SC,2/21/2017 7:00,7.02,32.4,9.63,96.6,0.4,259.2,112.4,12.64,8.1,-58.9
AZ,SC,2/21/2017 7:15,6.94,32.04,9.65,96.7,0.4,259.5,101.4,12.58,8.1,-58.9
AZ,SC,2/21/2017 7:30,6.89,32.3,9.66,96.8,0.41,259.9,92.69,12.52,8.1,-58.8
AZ,SC,2/21/2017 7:45,7.04,32.6,9.67,96.7,0.4,260.4,93.44,12.47,8.1,-58.9
AZ,SC,2/21/2017 8:00,6.94,32.57,9.68,96.7,0.4,260.7,89.86,12.42,8.1,-59
AZ,SC,2/21/2017 8:15,6.96,27.59,9.68,96.7,0.4,261.3,87.19,12.38,8.1,-58.8
AZ,SC,2/21/2017 8:30,6.94,2.68,9.71,96.8,0.4,261.3,91.34,12.34,8.11,-59.1
AZ,SC,2/21/2017 8:45,6.96,32.78,9.7,96.6,0.4,261.8,89.07,12.3,8.1,-58.9
AZ,SC,2/21/2017 9:00,6.96,32.68,9.71,96.7,0.4,261.9,89.16,12.27,8.11,-59.1
AZ,SC,2/21/2017 9:15,6.82,32.82,9.72,96.7,0.4,262.5,88.16,12.24,8.1,-58.9
AZ,SC,2/21/2017 9:30,6.87,32.72,9.73,96.7,0.4,262.8,101.4,12.2,8.11,-59.1
